,Album,Artist,CreditedArtist,Credits,ArtistURL
0,The Elements: 2020 Tour Box,King Crimson,Adrian Belew,Composer,https://www.allmusic.com/artist/adrian-belew-mn0000498577
1,The Elements: 2020 Tour Box,King Crimson,Biff U. Blumfumgagnge,Guitar,https://www.allmusic.com/artist/biff-u-blumfumgagnge-mn0000057056
2,The Elements: 2020 Tour Box,King Crimson,Bill Bruford,Composer,https://www.allmusic.com/artist/bill-bruford-mn0000074776
3,The Elements: 2020 Tour Box,King Crimson,Boz Burrell,Composer,https://www.allmusic.com/artist/boz-burrell-mn0000099073
4,The Elements: 2020 Tour Box,King Crimson,Mel Collins,Group Member,https://www.allmusic.com/artist/mel-collins-mn0000407337
5,The Elements: 2020 Tour Box,King Crimson,David Cross,Composer,https://www.allmusic.com/artist/david-cross-mn0000641067
6,The Elements: 2020 Tour Box,King Crimson,Robert Fripp,"Composer,  Group Member",https://www.allmusic.com/artist/robert-fripp-mn0000238440
7,The Elements: 2020 Tour Box,King Crimson,Michael Giles,Composer,https://www.allmusic.com/artist/michael-giles-mn0000465386
8,The Elements: 2020 Tour Box,King Crimson,Trey Gunn,Composer,https://www.allmusic.com/artist/trey-gunn-mn0000022134
9,The Elements: 2020 Tour Box,King Crimson,Gavin Harrison,"Composer,  Group Member",https://www.allmusic.com/artist/gavin-harrison-mn0000191711
10,The Elements: 2020 Tour Box,King Crimson,Jakko M. Jakszyk,"Composer,  Group Member",https://www.allmusic.com/artist/jakko-m-jakszyk-mn0000135230
11,The Elements: 2020 Tour Box,King Crimson,King Crimson,Primary Artist,https://www.allmusic.com/artist/king-crimson-mn0000076057
12,The Elements: 2020 Tour Box,King Crimson,Greg Lake,Composer,https://www.allmusic.com/artist/greg-lake-mn0000186477
13,The Elements: 2020 Tour Box,King Crimson,Tony Levin,"Composer,  Group Member",https://www.allmusic.com/artist/tony-levin-mn0000007305
14,The Elements: 2020 Tour Box,King Crimson,Pat Mastelotto,Group Member,https://www.allmusic.com/artist/pat-mastelotto-mn0000136202
15,The Elements: 2020 Tour Box,King Crimson,Ian McDonald,Composer,https://www.allmusic.com/artist/ian-mcdonald-mn0000769171
16,The Elements: 2020 Tour Box,King Crimson,Hugh O'Donnell,"Design,  Layout",https://www.allmusic.com/artist/hugh-odonnell-mn0001912581
17,The Elements: 2020 Tour Box,King Crimson,Richard Palmer-James,Composer,https://www.allmusic.com/artist/richard-palmer-james-mn0000354117
18,The Elements: 2020 Tour Box,King Crimson,Michele Russotto,"Drums,  Guitar (Bass)",https://www.allmusic.com/artist/michele-russotto-mn0001855425
19,The Elements: 2020 Tour Box,King Crimson,Dave Salt,Production Manager,https://www.allmusic.com/artist/dave-salt-mn0003000459
20,The Elements: 2020 Tour Box,King Crimson,Peter Sinfield,Composer,https://www.allmusic.com/artist/peter-sinfield-mn0000321322
21,The Elements: 2020 Tour Box,King Crimson,Sid Smith,Sleeve Notes,https://www.allmusic.com/artist/sid-smith-mn0001898454
22,The Elements: 2020 Tour Box,King Crimson,Jeremy Stacey,Group Member,https://www.allmusic.com/artist/jeremy-stacey-mn0000272980
23,The Elements: 2020 Tour Box,King Crimson,Paul Stratford,"Brass,  Keyboards",https://www.allmusic.com/artist/paul-stratford-mn0004047529
24,The Elements: 2020 Tour Box,King Crimson,David Taylor,Audio Technician,https://www.allmusic.com/artist/david-taylor-mn0002595027
25,The Elements: 2020 Tour Box,King Crimson,Ian Wallace,Composer,https://www.allmusic.com/artist/ian-wallace-mn0000679485
26,The Elements: 2020 Tour Box,King Crimson,John Wetton,Composer,https://www.allmusic.com/artist/john-wetton-mn0000231213
27,The Elements: 2020 Tour Box,King Crimson,Russ Wilson,Engineer,https://www.allmusic.com/artist/russ-wilson-mn0001310653
28,"Live in New Haven, CT, November 16, 2003",King Crimson,Adrian Belew,"Composer,  Guitar,  Vocals",https://www.allmusic.com/artist/adrian-belew-mn0000498577
29,"Live in New Haven, CT, November 16, 2003",King Crimson,Greg Dean,Live Sound Engineer,https://www.allmusic.com/artist/greg-dean-mn0000701271
30,"Live in New Haven, CT, November 16, 2003",King Crimson,Robert Fripp,"Composer,  Guitar",https://www.allmusic.com/artist/robert-fripp-mn0000238440
31,"Live in New Haven, CT, November 16, 2003",King Crimson,Trey Gunn,Warr Guitar,https://www.allmusic.com/artist/trey-gunn-mn0000022134
32,"Live in New Haven, CT, November 16, 2003",King Crimson,King Crimson,"Composer,  Primary Artist",https://www.allmusic.com/artist/king-crimson-mn0000076057
33,"Live in New Haven, CT, November 16, 2003",King Crimson,Pat Mastelotto,"Electronic Drums,  Guitar (Acoustic)",https://www.allmusic.com/artist/pat-mastelotto-mn0000136202
34,"Live in New Haven, CT, November 16, 2003",King Crimson,Alex R. Mundy,"Digital Editing,  Producer",https://www.allmusic.com/artist/alex-r-mundy-mn0001683758
35,"Live in New Haven, CT, November 16, 2003",King Crimson,Bill Munyon,Photography,https://www.allmusic.com/artist/bill-munyon-mn0000768178
36,"Live in New Haven, CT, November 16, 2003",King Crimson,Hugh O'Donnell,Design,https://www.allmusic.com/artist/hugh-odonnell-mn0001912581
37,"Live in New Haven, CT, November 16, 2003",King Crimson,David Singleton,Producer,https://www.allmusic.com/artist/david-singleton-mn0000182110
38,"Live in Chicago, IL, November 29, 1995",King Crimson,Adrian Belew,"Composer,  Guitar,  Vocals",https://www.allmusic.com/artist/adrian-belew-mn0000498577
39,"Live in Chicago, IL, November 29, 1995",King Crimson,Bill Bruford,"Drums,  Guitar (Acoustic),  Guitar (Electronic),  Percussion",https://www.allmusic.com/artist/bill-bruford-mn0000074776
40,"Live in Chicago, IL, November 29, 1995",King Crimson,Henry Diltz,Photography,https://www.allmusic.com/artist/henry-diltz-mn0000674993
41,"Live in Chicago, IL, November 29, 1995",King Crimson,Pierre Favre,Composer,https://www.allmusic.com/artist/pierre-favre-mn0000338722
42,"Live in Chicago, IL, November 29, 1995",King Crimson,Robert Fripp,"Guitar,  Soundscape",https://www.allmusic.com/artist/robert-fripp-mn0000238440
43,"Live in Chicago, IL, November 29, 1995",King Crimson,George Glossop,Engineer,https://www.allmusic.com/artist/george-glossop-mn0000648025
44,"Live in Chicago, IL, November 29, 1995",King Crimson,Trey Gunn,Guitar,https://www.allmusic.com/artist/trey-gunn-mn0000022134
45,"Live in Chicago, IL, November 29, 1995",King Crimson,Steve Jennings,Photography,https://www.allmusic.com/artist/steve-jennings-mn0001321382
46,"Live in Chicago, IL, November 29, 1995",King Crimson,King Crimson,Primary Artist,https://www.allmusic.com/artist/king-crimson-mn0000076057
47,"Live in Chicago, IL, November 29, 1995",King Crimson,John Lennon,Composer,https://www.allmusic.com/artist/john-lennon-mn0000232564
