,Album,Artist,ReleaseDate,Duration,AlbumURL
0,Music Is Our Friend [Live in Washington D.C. & Albany],King Crimson,"November 19, 2021",02:15:38,https://www.allmusic.com/album/music-is-our-friend-live-in-washington-dc-amp-albany--mw0003607611
1,The Elements: 2020 Tour Box,King Crimson,"September 4, 2020",02:22:24,https://www.allmusic.com/album/the-elements-2020-tour-box-mw0003412098
2,"Live in New Haven, CT, November 16, 2003",King Crimson,"January 31, 2020",01:37:02,https://www.allmusic.com/album/live-in-new-haven-ct-november-16-2003-mw0003348426
3,"Live in Chicago, IL, November 29, 1995",King Crimson,"January 31, 2020",01:47:15,https://www.allmusic.com/album/live-in-chicago-il-november-29-1995-mw0003348086
4,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,"January 1, 2019",01:16:14,https://www.allmusic.com/album/projekct-three-live-in-alexandria-va-march-3-2003--mw0003325155
5,Welcome to the Blackout [Live London '78],David Bowie,"April 21, 2018",01:47:17,https://www.allmusic.com/album/welcome-to-the-blackout-live-london-78--mw0003173016
6,Mr. Music Head/Inner Revolution,Adrian Belew,"October 12, 2018",?,https://www.allmusic.com/album/mr-music-head-inner-revolution-mw0003208895
7,"Live in Vienna, December 1st, 2016",King Crimson,"April 6, 2018",03:07:11,https://www.allmusic.com/album/live-in-vienna-december-1st-2016-mw0003154520
8,The  Elements: 2017 Tour Box,King Crimson,"June 6, 2017",02:22:01,https://www.allmusic.com/album/the-elements-2017-tour-box-mw0003055884
9,The  Archives,Talking Heads,"November 17, 2017",03:53:02,https://www.allmusic.com/album/the-archives-mw0003114150
10,"Party Tyme Karaoke: Billboard Top 40 Karaoke Box Set, Vol. 7",Party Tyme Karaoke,"September 29, 2017",04:58:01,https://www.allmusic.com/album/party-tyme-karaoke-billboard-top-40-karaoke-box-set-vol-7-mw0003096050
11,"Official Bootleg: Live in Chicago, June 28th, 2017",King Crimson,"October 13, 2017",02:33:24,https://www.allmusic.com/album/official-bootleg-live-in-chicago-june-28th-2017-mw0003102844
12,Live PA #20: Live at Panorama Room 9-30-17,Rare Essence,"cember 29, 2017",01:16:35,https://www.allmusic.com/album/live-pa-20-live-at-panorama-room-9-30-17-mw0003135269
13,Gizmodrome,Gizmodrome,"September 15, 2017",46:26,https://www.allmusic.com/album/gizmodrome-mw0003071825
14,A New Career in a New Town [1977-1982],David Bowie,"September 29, 2017",07:32:39,https://www.allmusic.com/album/a-new-career-in-a-new-town-1977-1982--mw0003081384
15,Rehearsals & Blows,King Crimson,"January, 2016",44:25,https://www.allmusic.com/album/rehearsals-amp-blows-mw0003348428
16,Radical Action to Unseat the Hold of Monkey Mind,King Crimson,"September 2, 2016",02:40:34,https://www.allmusic.com/album/radical-action-to-unseat-the-hold-of-monkey-mind-mw0002964721
17,On (And Off) The Road 1981-1984,King Crimson,"October 28, 2016",11:04:34,https://www.allmusic.com/album/on-and-off-the-road-1981-1984-mw0002974867
18,"Live in Toronto, November 20, 2015",King Crimson,"March 25, 2016",02:06:44,https://www.allmusic.com/album/live-in-toronto-november-20-2015-mw0002926480
19,Cap D'agde 1982: Live KC Collectors' Club,King Crimson,"February 26, 2016",01:00:20,https://www.allmusic.com/album/cap-dagde-1982-live-kc-collectors-club-mw0002918281
20,The Elements: 2015 Tour Box,King Crimson,"August 31, 2015",02:20:30,https://www.allmusic.com/album/the-elements-2015-tour-box-mw0002885566
21,"Midori: Live in Tokyo 2015, Second Show",Stick Men,2015,?,https://www.allmusic.com/album/midori-live-in-tokyo-2015-second-show-mw0002881705
22,Midori : First Show,Stick Men,2015,?,https://www.allmusic.com/album/midori-first-show-mw0002882214
23,Live at the Orpheum,King Crimson,"January 12, 2015",40:50,https://www.allmusic.com/album/live-at-the-orpheum-mw0002800577
24,Live at Rockpalast,Adrian Belew,"June 23, 2015",?,https://www.allmusic.com/album/live-at-rockpalast-mw0002850093
25,#1 to Infinity,Mariah Carey,"May 18, 2015",01:19:29,https://www.allmusic.com/album/-1-to-infinity-mw0002842935
26,True Confessions: The Epic Sessions,Garland Jeffreys,"February 17, 2014",02:28:43,https://www.allmusic.com/album/true-confessions-the-epic-sessions-mw0002609961
27,The  Elements: 2014 Tour Box,King Crimson,2014,02:12:04,https://www.allmusic.com/album/the-elements-2014-tour-box-mw0002764052
28,"Live in Milan, June 20th, 2003",King Crimson,"February 4, 2014",02:05:35,https://www.allmusic.com/album/live-in-milan-june-20th-2003-mw0002612785
29,"Live at the Pier, New York, August 2nd, 1982",King Crimson,"February 4, 2014",01:10:55,https://www.allmusic.com/album/live-at-the-pier-new-york-august-2nd-1982-mw0002617898
30,Levin Brothers,Levin Brothers / Pete Levin / Tony Levin,"September 9, 2014",54:08,https://www.allmusic.com/album/levin-brothers-mw0002759253
31,Kaleidoscope,Transatlantic,"February 4, 2014",01:15:48,https://www.allmusic.com/album/kaleidoscope-mw0002605426
32,À la Recherche du Roi Frippe,Médéric Collignon / Mederic Collignon / Le Jus De Bocse,"May 1, 2013",01:15:34,https://www.allmusic.com/album/%C3-la-recherche-du-roi-frippe-mw0002540061
33,The  Complete Album Collection,Paul Simon,"October 15, 2013",13:14:50,https://www.allmusic.com/album/the-complete-album-collection-mw0002570331
34,Secrest/Clues/Maybe It's Live,Robert Palmer,"August 26, 2013",01:59:36,https://www.allmusic.com/album/secrest-clues-maybe-its-live-mw0002563504
35,Over the Bridge of Time: A Paul Simon Retrospective (1964-2011),Paul Simon,"October 15, 2013",01:19:40,https://www.allmusic.com/album/over-the-bridge-of-time-a-paul-simon-retrospective-1964-2011-mw0002576840
36,Inland,Jars of Clay,"August 27, 2013",51:05,https://www.allmusic.com/album/inland-mw0002562016
