,Artist,Year,AlbumArtist,Album,AlbumURL,Credits
0,Adrian Belew,2020,King Crimson,The Elements: 2020 Tour Box,https://www.allmusic.com/album/the-elements-2020-tour-box-mw0003412098,Composer
1,Adrian Belew,2020,King Crimson,"Live in New Haven, CT, November 16, 2003",https://www.allmusic.com/album/live-in-new-haven-ct-november-16-2003-mw0003348426,"Vocals, Guitar, Composer"
2,Adrian Belew,2020,King Crimson,"Live in Chicago, IL, November 29, 1995",https://www.allmusic.com/album/live-in-chicago-il-november-29-1995-mw0003348086,"Vocals, Guitar, Composer"
3,Adrian Belew,2019,King Crimson,"Projekct Three [Live in Alexandria, Va March 3, 2003]",https://www.allmusic.com/album/projekct-three-live-in-alexandria-va-march-3-2003-mw0003325155,Composer
4,Adrian Belew,2018,David Bowie,Welcome to the Blackout [Live London '78],https://www.allmusic.com/album/welcome-to-the-blackout-live-london-78-mw0003173016,"Guitar, Vocals (Background)"
5,Adrian Belew,2018,Adrian Belew,Mr. Music Head/Inner Revolution,https://www.allmusic.com/album/mr-music-head-inner-revolution-mw0003208895,Primary Artist
6,Adrian Belew,2018,King Crimson,"Live in Vienna, December 1st, 2016",https://www.allmusic.com/album/live-in-vienna-december-1st-2016-mw0003154520,Composer
7,Adrian Belew,2017,King Crimson,The  Elements: 2017 Tour Box,https://www.allmusic.com/album/the-elements-2017-tour-box-mw0003055884,"Composer, Guitar, Vocals"
8,Adrian Belew,2017,Talking Heads,The  Archives,https://www.allmusic.com/album/the-archives-mw0003114150,Composer
9,Adrian Belew,2017,Party Tyme Karaoke,"Party Tyme Karaoke: Billboard Top 40 Karaoke Box Set, Vol. 7",https://www.allmusic.com/album/party-tyme-karaoke-billboard-top-40-karaoke-box-set-vol-7-mw0003096050,Composer
10,Adrian Belew,2017,King Crimson,"Official Bootleg: Live in Chicago, June 28th, 2017",https://www.allmusic.com/album/official-bootleg-live-in-chicago-june-28th-2017-mw0003102844,Composer
11,Adrian Belew,2017,Gizmodrome,Gizmodrome,https://www.allmusic.com/album/gizmodrome-mw0003071825,"Guitar, Group Member, Composer"
12,Adrian Belew,2017,David Bowie,A New Career in a New Town [1977-1982],https://www.allmusic.com/album/a-new-career-in-a-new-town-1977-1982-mw0003081384,"Guitar, Guitar (Rhythm), Mandolin, Vocals (Background)"
13,Adrian Belew,2016,King Crimson,Rehearsals & Blows,https://www.allmusic.com/album/rehearsals-amp-blows-mw0003348428,"Guitar, Group Member"
14,Adrian Belew,2016,King Crimson,Radical Action to Unseat the Hold of Monkey Mind,https://www.allmusic.com/album/radical-action-to-unseat-the-hold-of-monkey-mind-mw0002964721,Composer
15,Adrian Belew,2016,King Crimson,On (And Off) The Road 1981-1984,https://www.allmusic.com/album/on-and-off-the-road-1981-1984-mw0002974867,Spoken Word
16,Adrian Belew,2016,King Crimson,"Live in Toronto, November 20, 2015",https://www.allmusic.com/album/live-in-toronto-november-20-2015-mw0002926480,Composer
