,Artist,Genre
0,'Adrian Belew',Pop/Rock
1,King Crimson,Pop/Rock
2,David Bowie,Pop/Rock
3,Adrian Belew,Pop/Rock
4,Talking Heads,Pop/Rock
5,Party Tyme Karaoke,Pop/Rock
6,Party Tyme Karaoke,Country
7,Party Tyme Karaoke,Easy Listening
8,Party Tyme Karaoke,Holiday
9,Rare Essence,R&B
10,Gizmodrome,Pop/Rock
11,Stick Men,Pop/Rock
12,Mariah Carey,R&B
13,Garland Jeffreys,Pop/Rock
14,Levin Brothers / Pete Levin / Tony Levin,Jazz
15,Transatlantic,Pop/Rock
16,Médéric Collignon / Mederic Collignon / Le Jus De Bocse,International
17,Paul Simon,Pop/Rock
18,Paul Simon,International
19,Robert Palmer,Pop/Rock
20,Robert Palmer,R&B
21,Jars of Clay,Religious
22,Jars of Clay,Pop/Rock
23,Nine Inch Nails,Pop/Rock
24,Robert Fripp / Travis & Fripp / Theo Travis,Pop/Rock
25,Robert Fripp / Travis & Fripp / Theo Travis,Avant-Garde
26,Ned Evett,Pop/Rock
27,Kurt Elling,Vocal
28,Kurt Elling,Jazz
29,Caifanes,Latin
30,Frank Zappa,Pop/Rock
31,Frank Zappa,Jazz
32,Frank Zappa,Avant-Garde
33,Frank Zappa,Classical
34,Frank Zappa,Comedy/Spoken
35,Herbie Hancock,Jazz
36,Trent Reznor / Atticus Ross / Trent Reznor & Atticus Ross,Pop/Rock
37,Trent Reznor / Atticus Ross / Trent Reznor & Atticus Ross,Stage & Screen
38,Tom Tom Club,Pop/Rock
39,The New Czars,Pop/Rock
40,Mondo Marcio,Rap
41,Adrian Belew / Kevin Max,Pop/Rock
42,The Crimson Jazz Trio,Jazz
43,The Crimson Jazz Trio,Avant-Garde
44,The Crimson Jazz Trio,Pop/Rock
45,Sugar Beats,Children's
46,Sugar Beats,Pop/Rock
47,Mike Zirkel,Pop/Rock
48,Wave Mechanics Union,Pop/Rock
49,Andrew Gorczyca,Pop/Rock
50,Asia,Pop/Rock
51,Cyndi Lauper,Pop/Rock
52,Cyndi Lauper,Folk
53,Caifanes / De Caifanes a Jaguares / Jaguares,Latin
54,Danny Morgan,Pop/Rock
55,The Bears,Pop/Rock
56,Sara Hickman,Country
57,Sara Hickman,Folk
58,Sara Hickman,Pop/Rock
59,Between the Buried and Me,Pop/Rock
60,The 4-Squares,Pop/Rock
61,Tony Levin,Pop/Rock
62,Tony Levin,Jazz
63,ProjeKct Two,Pop/Rock
64,Larry Levan,R&B
65,Joe Cocker,Pop/Rock
66,Jean-Michel Jarre,Electronic
67,Jean-Michel Jarre,New Age
68,Jean-Michel Jarre,Avant-Garde
69,Ol' Dirty Bastard,Rap
70,Man on Fire,Pop/Rock
71,Fission Trip,Pop/Rock
72,Porcupine Tree,Pop/Rock
73,Jaguares,Latin
74,Jaguares,Pop/Rock
75,Saul Zonana,Pop/Rock
76,Patti Smith,Pop/Rock
77,Culture,Reggae
78,Vitamin String Quartet,Classical
79,Vitamin String Quartet,Pop/Rock
80,Training for Utopia,Pop/Rock
81,Training for Utopia,Religious
82,Frank Jordan,Pop/Rock
83,Frank Jordan,Blues
84,William Shatner,Pop/Rock
85,William Shatner,Comedy/Spoken
86,Rachel Z,Jazz
87,Nusound,New Age
88,The Honorary Title,Pop/Rock
89,Harmonica Shah,Blues
90,Geoff Downes / John Wetton,Pop/Rock
91,Geoff Downes / John Wetton,New Age
92,Ryuichi Sakamoto,Electronic
93,Ryuichi Sakamoto,Stage & Screen
94,Ryuichi Sakamoto,Avant-Garde
95,Ryuichi Sakamoto,Classical
96,Ryuichi Sakamoto,International
97,Ryuichi Sakamoto,Pop/Rock
98,Townes Van Zandt,Folk
99,Townes Van Zandt,Country
100,Townes Van Zandt,Pop/Rock
101,Pretty Mighty Mighty,Pop/Rock
102,Reaching Forward,Pop/Rock
103,The X-ecutioners,Rap
104,Jamie deRoy,Vocal
105,Tori Amos,Pop/Rock
106,Kevin Max,Religious
107,dc Talk,Religious
108,dc Talk,Pop/Rock
109,Erick Sermon,Rap
110,Les Claypool,Pop/Rock
111,Les Claypool,Country
112,JT Money,Rap
113,Rick Altizer,Pop/Rock
114,Rick Altizer,Religious
115,Tim Bowness,Pop/Rock
116,Laurie Anderson,Avant-Garde
117,Laurie Anderson,Pop/Rock
118,Béla Fleck & the Flecktones,Jazz
119,California Guitar Trio,Pop/Rock
120,California Guitar Trio,Folk
121,California Guitar Trio,Blues
122,R. Stevie Moore,Pop/Rock
123,Freddy Gardner,Jazz
124,Freddy Gardner,Classical
125,The Countdown Singers,Easy Listening
126,The Countdown Singers,Pop/Rock
127,The Countdown Singers,Comedy/Spoken
128,Discipline,Pop/Rock
129,Nicola Sirkis,International
130,Nicola Sirkis,Pop/Rock
131,Joan Armatrading,Pop/Rock
132,Joan Armatrading,Folk
133,The Irresponsibles,Pop/Rock
134,ProjeKct Four,Pop/Rock
135,2Pac / Outlawz,Rap
136,Mike Oldfield,New Age
137,Mike Oldfield,Pop/Rock
138,Artie Traum,Folk
139,Artie Traum,Jazz
140,Artie Traum,Pop/Rock
141,Joe Dolan,Pop/Rock
142,Jerry Lee Lewis,Pop/Rock
143,Jerry Lee Lewis,Country
144,Mack 10,Rap
145,DJ Clue?,Rap
146,Monty Montgomery,Pop/Rock
147,Rob Fetters,Pop/Rock
148,Christopher Young,Stage & Screen
149,Christopher Young,Classical
150,Christopher Young,Pop/Rock
151,Christopher Young,Electronic
152,Curd Duca,Electronic
153,Curd Duca,New Age
154,Ivano Fossati,Pop/Rock
155,Ivano Fossati,International
156,Michael Prophet,Reggae
157,Michael Prophet,Pop/Rock
158,Rick Derringer,Pop/Rock
159,Alfonzo Hunter,R&B
160,Gutterball,Pop/Rock
161,Vowel Movement,Pop/Rock
162,Al Kooper,Pop/Rock
163,Al Kooper,R&B
164,Love Is Colder than Death,Pop/Rock
165,The Elvis Brothers,Pop/Rock
166,S.F.C.,Rap
167,S.F.C.,Religious
168,Gospel Gangstaz,Religious
169,WC and the Maad Circle,Rap
170,Scarface,Rap
171,Santa Sabina,Latin
172,Santa Sabina,Pop/Rock
173,Raisins,Pop/Rock
174,Stephen Bishop,Pop/Rock
175,Stephen Bishop,Stage & Screen
176,Kindred Way,Pop/Rock
177,Big Daddy Kane,Rap
178,Sister Carol,Reggae
179,Forward,Reggae
180,Smiley Lewis,R&B
181,Anathema,Pop/Rock
182,Zimbabwe Legit,Rap
183,Force M.D.'s,R&B
184,Mac Band,R&B
185,Chris Cuevas,Pop/Rock
186,Chris Cuevas,Electronic
187,Funkytown Pros,Rap
188,HEAL,Pop/Rock
189,HEAL,Rap
190,Andrew Dice Clay,Comedy/Spoken
191,Jerry Harrison,Pop/Rock
192,Iron Christ,Pop/Rock
193,Scruffy the Cat,Pop/Rock
194,Max Q,Pop/Rock
195,Jody Watley,R&B
196,The Cucumbers,Pop/Rock
197,Captain Lou Albano / NRBQ,Pop/Rock
198,Pia Zadora,Vocal
199,Pia Zadora,Jazz
200,Pia Zadora,Pop/Rock
201,Scott Merritt,Pop/Rock
202,Whitesnake,Pop/Rock
203,Certain General,Pop/Rock
204,Peter Wolf,Pop/Rock
205,Steve Hillage,Pop/Rock
206,Steve Hillage,Electronic
207,Ryuichi Sakamoto / Robin Scott,Electronic
208,Ryuichi Sakamoto / Robin Scott,Stage & Screen
209,Ryuichi Sakamoto / Robin Scott,Avant-Garde
210,Ryuichi Sakamoto / Robin Scott,Classical
211,Ryuichi Sakamoto / Robin Scott,International
212,Ryuichi Sakamoto / Robin Scott,Pop/Rock
213,David Byrne,Pop/Rock
214,David Byrne,Avant-Garde
215,David Byrne,International
216,David Byrne,Classical
217,The Music Emporium,Pop/Rock
218,Bill Wolfer,Jazz
219,Debbie Reynolds,Vocal
220,Yoga Pop Ups,New Age
221,Edensong,Pop/Rock
222,UniKuE,Folk
223,The Mastelottos,New Age
224,The Mastelottos,Pop/Rock
225,Raphaël Haroche / Raphaël,Pop/Rock
226,The Crimson Projekct,Pop/Rock
227,Troy Jones,Country
228,Nonch Harpin',Pop/Rock
229,Music Box Mania,Pop/Rock
230,Twinkle Twinkle Little Rock Star,Children's
231,Twinkle Twinkle Little Rock Star,Pop/Rock
232,Adrian Belew / Stewart Copeland / Vittorio Cosma / Mark King,Pop/Rock
233,Tim Reynolds / TR3,Pop/Rock
234,Tim Reynolds / TR3,Jazz
235,Delta Saxophone Quartet,Avant-Garde
236,Delta Saxophone Quartet,New Age
237,Delta Saxophone Quartet,Classical
238,Mia Love,Pop/Rock
