,Artist,DOB,ArtistURL
0,Adrian Belew,"December 23, 1949                 in Covington, KY",https://www.allmusic.com/artist/adrian-belew-mn0000498577/credits
1,King Crimson,"Formed              1968                 in London, England",https://www.allmusic.com/artist/king-crimson-mn0000076057
2,David Bowie,"January 8, 1947                 in London, England",https://www.allmusic.com/artist/david-bowie-mn0000531986
3,Talking Heads,"Formed              1974                 in New York City, NY",https://www.allmusic.com/artist/talking-heads-mn0000131650
4,Party Tyme Karaoke,?,https://www.allmusic.com/artist/party-tyme-karaoke-mn0000159298
5,Gizmodrome,Formed              2016                 in Italy,https://www.allmusic.com/artist/gizmodrome-mn0003637775
6,Stick Men,?,https://www.allmusic.com/artist/stick-men-mn0002685969
7,Mariah Carey,"March 27, 1970                 in Huntington, NY",https://www.allmusic.com/artist/mariah-carey-mn0000262255
8,Garland Jeffreys,"July 3, 1944                 in Brooklyn, NY",https://www.allmusic.com/artist/garland-jeffreys-mn0000164750
9,Levin Brothers / Pete Levin / Tony Levin,?,https://www.allmusic.com/artist/levin-brothers-mn0003319315
10,Transatlantic,Formed              1999,https://www.allmusic.com/artist/transatlantic-mn0000746136
11,Médéric Collignon / Mederic Collignon / Le Jus De Bocse,?,https://www.allmusic.com/artist/m%C3%A9d%C3%A9ric-collignon-mn0001311653
12,Paul Simon,"October 13, 1941                 in Newark, NJ",https://www.allmusic.com/artist/paul-simon-mn0000031685
13,Robert Palmer,"January 19, 1949                 in Batley, England",https://www.allmusic.com/artist/robert-palmer-mn0000093632
14,Jars of Clay,"Formed              1993                 in Greenville, IL",https://www.allmusic.com/artist/jars-of-clay-mn0000215058
15,Nine Inch Nails,"Formed              1988                 in Cleveland, OH",https://www.allmusic.com/artist/nine-inch-nails-mn0000351733
16,Robert Fripp / Travis & Fripp / Theo Travis,"May 16, 1946                 in Wimborne Minster, Dorset, England",https://www.allmusic.com/artist/robert-fripp-mn0000238440
17,Ned Evett,?,https://www.allmusic.com/artist/ned-evett-mn0000384800
18,Kurt Elling,"November 2, 1967                 in Chicago, IL",https://www.allmusic.com/artist/kurt-elling-mn0000777054
19,Various,,
20,Caifanes,"Formed              1986                 in Mexico City, Mexic",https://www.allmusic.com/artist/caifanes-mn0000639621
21,Frank Zappa,"December 21, 1940                 in Baltimore, MD",https://www.allmusic.com/artist/frank-zappa-mn0000138699
22,Herbie Hancock,"April 12, 1940                 in Chicago, IL",https://www.allmusic.com/artist/herbie-hancock-mn0000957296
23,Trent Reznor / Atticus Ross / Trent Reznor & Atticus Ross,"May 17, 1965                 in New Castle, PA",https://www.allmusic.com/artist/trent-reznor-mn0000017580
24,Tom Tom Club,"Formed              1980                 in New York City, NY",https://www.allmusic.com/artist/tom-tom-club-mn0000611929
25,The New Czars,Formed              2009,https://www.allmusic.com/artist/the-new-czars-mn0002527085
26,Mondo Marcio,"December, 1986                 in Milan, Italy",https://www.allmusic.com/artist/mondo-marcio-mn0002051758
27,Adrian Belew / Kevin Max,"December 23, 1949                 in Covington, KY",https://www.allmusic.com/artist/adrian-belew-mn0000498577
28,The Crimson Jazz Trio,"Formed              May, 2005                 in Woodland Hills, CA",https://www.allmusic.com/artist/the-crimson-jazz-trio-mn0002044203
29,Sugar Beats,?,https://www.allmusic.com/artist/sugar-beats-mn0000921649
30,Mike Zirkel,?,https://www.allmusic.com/artist/mike-zirkel-mn0000492265
31,Wave Mechanics Union,?,https://www.allmusic.com/artist/wave-mechanics-union-mn0001535082
32,Andrew Gorczyca,?,https://www.allmusic.com/artist/andrew-gorczyca-mn0001048615
33,Asia,"Formed              January, 1981                 in England",https://www.allmusic.com/artist/asia-mn0000623254
34,Cyndi Lauper,"June 22, 1953                 in Brooklyn, NY",https://www.allmusic.com/artist/cyndi-lauper-mn0000122754
35,Caifanes / De Caifanes a Jaguares / Jaguares,"Formed              1986                 in Mexico City, Mexic",https://www.allmusic.com/artist/caifanes-mn0000639621
36,Danny Morgan,?,https://www.allmusic.com/artist/danny-morgan-mn0001530966
37,The Bears,Formed              1985,https://www.allmusic.com/artist/the-bears-mn0000038260
38,Sara Hickman,"March 1, 1963                 in Jacksonville, NC",https://www.allmusic.com/artist/sara-hickman-mn0000246600
39,Between the Buried and Me,"Formed              2000                 in Raleigh, NC",https://www.allmusic.com/artist/between-the-buried-and-me-mn0000399190
40,The 4-Squares,?,https://www.allmusic.com/artist/the-4-squares-mn0002070897
41,Tony Levin,"June 6, 1946                 in Boston, MA",https://www.allmusic.com/artist/tony-levin-mn0000007305
42,ProjeKct Two,?,https://www.allmusic.com/artist/projekct-two-mn0001247570
43,Larry Levan,"June 21, 1954                 in Brooklyn, NY",https://www.allmusic.com/artist/larry-levan-mn0000131624
44,Joe Cocker,"May 20, 1944                 in Sheffield, England",https://www.allmusic.com/artist/joe-cocker-mn0000149515
45,Jean-Michel Jarre,"August 24, 1948                 in Lyon, France",https://www.allmusic.com/artist/jean-michel-jarre-mn0000230593
46,Ol' Dirty Bastard,"November 15, 1968                 in Brooklyn, NY",https://www.allmusic.com/artist/ol-dirty-bastard-mn0000463803
47,Man on Fire,?,https://www.allmusic.com/artist/man-on-fire-mn0000673550
48,Fission Trip,?,https://www.allmusic.com/artist/fission-trip-mn0000282246
49,Porcupine Tree,"Formed              1987                 in London, England",https://www.allmusic.com/artist/porcupine-tree-mn0000854203
50,Jaguares,?,https://www.allmusic.com/artist/jaguares-mn0000126862
51,Saul Zonana,?,https://www.allmusic.com/artist/saul-zonana-mn0000837290
52,Patti Smith,"December 30, 1946                 in Chicago, IL",https://www.allmusic.com/artist/patti-smith-mn0000747445
53,Culture,"Formed              1976                 in Kingston, Jamaica",https://www.allmusic.com/artist/culture-mn0000109637
54,Vitamin String Quartet,"Formed              1999                 in Los Angeles, CA",https://www.allmusic.com/artist/vitamin-string-quartet-mn0001002995
55,Training for Utopia,?,https://www.allmusic.com/artist/training-for-utopia-mn0000745261
56,Frank Jordan,?,https://www.allmusic.com/artist/frank-jordan-mn0000171369
57,William Shatner,"March 22, 1931                 in Montreal, Quebec, Canada",https://www.allmusic.com/artist/william-shatner-mn0000579627
58,Rachel Z,"December 28, 1962                 in New York City, NY",https://www.allmusic.com/artist/rachel-z-mn0000380614
59,Nusound,?,https://www.allmusic.com/artist/nusound-mn0000465514
60,The Honorary Title,"Formed              2002                 in Brooklyn, NY",https://www.allmusic.com/artist/the-honorary-title-mn0000063545
61,Harmonica Shah,"in Oakland, CA",https://www.allmusic.com/artist/harmonica-shah-mn0000665667
62,Geoff Downes / John Wetton,"August 25, 1952                 in Stockport, Cheshire, England",https://www.allmusic.com/artist/geoff-downes-mn0000200020
63,Ryuichi Sakamoto,"January 17, 1952                 in Tokyo, Japa",https://www.allmusic.com/artist/ryuichi-sakamoto-mn0000587608
64,Townes Van Zandt,"March 7, 1944                 in Fort Worth, TX",https://www.allmusic.com/artist/townes-van-zandt-mn0000744796
65,Pretty Mighty Mighty,?,https://www.allmusic.com/artist/pretty-mighty-mighty-mn0000303890
66,Reaching Forward,?,https://www.allmusic.com/artist/reaching-forward-mn0000405640
67,The X-ecutioners,"Formed              1989                 in New York City, NY",https://www.allmusic.com/artist/the-x-ecutioners-mn0000487906
68,Jamie deRoy,?,https://www.allmusic.com/artist/jamie-deroy-mn0000807472
69,Tori Amos,"August 22, 1963                 in Newton, NC",https://www.allmusic.com/artist/tori-amos-mn0000792530
70,Kevin Max,?,https://www.allmusic.com/artist/kevin-max-mn0000768017
71,dc Talk,"Formed              1989                 in Washington, D.C.",https://www.allmusic.com/artist/dc-talk-mn0000946560
72,Erick Sermon,"November 25, 1968                 in Bay Shore, NY",https://www.allmusic.com/artist/erick-sermon-mn0000802875
73,Les Claypool,"September 29, 1963                 in Richmond, CA",https://www.allmusic.com/artist/les-claypool-mn0000242545
74,JT Money,"September 14, 1972                 in Miami, FL",https://www.allmusic.com/artist/jt-money-mn0000115813
75,Rick Altizer,?,https://www.allmusic.com/artist/rick-altizer-mn0000298032
76,Tim Bowness,?,https://www.allmusic.com/artist/tim-bowness-mn0000929335
77,Laurie Anderson,"June 5, 1947                 in Glen Ellyn, IL",https://www.allmusic.com/artist/laurie-anderson-mn0000785773
78,Béla Fleck & the Flecktones,?,https://www.allmusic.com/artist/b%C3%A9la-fleck-the-flecktones-mn0000151294
79,California Guitar Trio,?,https://www.allmusic.com/artist/california-guitar-trio-mn0000646378
80,R. Stevie Moore,"January 18, 1952                 in Nashville, TN",https://www.allmusic.com/artist/r-stevie-moore-mn0000384920
81,Freddy Gardner,"December 23, 1910                 in London, England",https://www.allmusic.com/artist/freddy-gardner-mn0000149089
82,The Countdown Singers,"Formed              1994                 in Quebec, Canada",https://www.allmusic.com/artist/the-countdown-singers-mn0000784073
83,Discipline,?,https://www.allmusic.com/artist/discipline-mn0001368488
84,Nicola Sirkis,?,https://www.allmusic.com/artist/nicola-sirkis-mn0000639613
