,Artist,Style
0,Adrian Belew,Album Rock
1,Adrian Belew,Art Rock
2,Adrian Belew,Experimental
3,Adrian Belew,Guitar Virtuoso
4,Adrian Belew,Jazz-Rock
5,Adrian Belew,Alternative/Indie Rock
6,Adrian Belew,Experimental Rock
7,Adrian Belew,Contemporary Pop/Rock
8,King Crimson,Art Rock
9,King Crimson,Prog-Rock
10,King Crimson,Album Rock
11,David Bowie,Album Rock
12,David Bowie,Art Rock
13,David Bowie,Contemporary Pop/Rock
14,David Bowie,Experimental Rock
15,David Bowie,Glam Rock
16,David Bowie,Hard Rock
17,David Bowie,Proto-Punk
18,David Bowie,Blue-Eyed Soul
19,David Bowie,Dance-Rock
20,Talking Heads,Alternative/Indie Rock
21,Talking Heads,American Punk
22,Talking Heads,College Rock
23,Talking Heads,New Wave
24,Talking Heads,New York Punk
25,Talking Heads,Post-Punk
26,Talking Heads,Dance-Rock
27,Talking Heads,Punk/New Wave
28,Talking Heads,Album Rock
29,Talking Heads,Alternative Pop/Rock
30,Party Tyme Karaoke,Contemporary Pop/Rock
31,Party Tyme Karaoke,Dance-Pop
32,Gizmodrome,Art Rock
33,Gizmodrome,Contemporary Pop/Rock
34,Gizmodrome,Experimental
35,Stick Men,?
36,Mariah Carey,Adult Contemporary
37,Mariah Carey,Adult Contemporary R&B
38,Mariah Carey,Dance-Pop
39,Mariah Carey,Pop
40,Garland Jeffreys,Rock & Roll
41,Garland Jeffreys,Singer/Songwriter
42,Levin Brothers / Pete Levin / Tony Levin,?
43,Transatlantic,Hard Rock
44,Transatlantic,Heavy Metal
45,Transatlantic,Neo-Prog
46,Transatlantic,Progressive Metal
47,Transatlantic,Album Rock
48,Médéric Collignon / Mederic Collignon / Le Jus De Bocse,?
49,Paul Simon,Adult Contemporary
50,Paul Simon,Contemporary Pop/Rock
51,Paul Simon,Folk-Rock
52,Paul Simon,Singer/Songwriter
53,Paul Simon,Soft Rock
54,Paul Simon,Worldbeat
55,Paul Simon,Album Rock
56,Paul Simon,AM Pop
57,Robert Palmer,Contemporary Pop/Rock
58,Robert Palmer,Adult Contemporary
59,Robert Palmer,Blue-Eyed Soul
60,Robert Palmer,Disco
61,Robert Palmer,Soul
